lh_volume_rostralmiddlefrontal,lh_volume_superiorfrontal,rh_volume_superiorfrontal,rh_volume_rostralmiddlefrontal
531.083966936384,473.500718550249,449.296792166574,593.618908691406
535.729319981166,474.83964954723,454.484510149275,588.498439243862
536.98679460798,480.387598211115,447.786398751395,594.392030552455
532.351194109236,468.798864191229,454.37486921038,593.279588099888
530.708746773856,479.671636408026,449.392081124442,587.275278145926
534.387786865234,478.962779651989,458.870832170759,592.427727399554
532.003860473633,471.657445734197,458.074911934989,594.462007359096
532.30766078404,470.714899236506,457.704807826451,587.907141113281
536.316724504743,478.456506902521,455.733184814453,586.461889648438
538.652712140765,481.755820534446,455.918675013951,590.123949323382
533.226296561105,470.707086736506,457.720162527902,590.351927839007
533.272421700614,470.913429953835,457.951289585658,594.034887695313
532.415941510882,469.077772660689,455.481763567243,591.266529192243
533.965881347656,476.014187899503,454.458548409598,589.738180106027
532.373288835798,473.165163907138,457.152042933873,593.074897112165
530.083860124861,466.642356178977,451.789847237723,593.619914027623
531.73176574707,471.786598899148,458.036969866071,591.978827776228
536.931379045759,479.52641435103,449.990862165179,593.555485316685
533.889543805804,472.738517067649,460.360974993025,591.202883475167
535.993031093052,471.426488702947,454.910387311663,595.190285818918
537.653527396066,478.47675670277,452.507498604911,591.678418840681
535.704374040876,483.530500932173,457.796875,592.947205461775
537.17710004534,483.906163995916,458.409790039063,588.288593401228
536.067291259766,481.023454145952,460.535396030971,586.409394182478
533.832547869001,478.329595392401,458.791159493583,590.758386230469
530.062726702009,474.64687278054,463.781729561942,588.639495849609
531.907206944057,474.016587690874,456.500823974609,589.835913085938
531.201503208705,473.016057794744,457.438446044922,593.607624162946
532.240240914481,471.134982022372,461.557098388672,592.173985072545
537.052599225725,481.186171098189,460.253082275391,589.831046840123
539.094757080078,484.874278675426,458.689753941127,586.488200160435
535.405947004046,480.030695134943,459.402648925781,593.485086495536
535.893362862723,474.962915593928,463.33740234375,593.36591796875
532.105632237026,478.125385631215,458.515594482422,592.782073974609
534.664108276367,474.502696644176,456.103197370257,594.276658412388
536.218229021345,478.06709428267,459.520337785993,595.11611328125
539.018460954939,480.081939697266,458.108215332031,588.114345877511
539.863414219448,485.343938654119,457.322296142578,589.248786272322
536.737073625837,476.580136385831,454.939143589565,596.359389822824
536.647842407227,475.425709117543,455.920510428292,599.215740966797
537.741579328265,480.016279740767,459.578704833984,592.213630894252
536.775030953544,486.323014692827,453.128509521484,590.040944126674
531.887091500419,472.51581920277,457.681775774275,592.387832205636
531.317319597517,466.612962202592,457.903891427176,590.199179513114
534.087238856724,475.763255726207,457.921051025391,594.657596261161
534.524618966239,479.258764093572,461.006138392857,592.312442452567
538.007742745536,481.374919544567,457.435067313058,593.540767996652
535.52392578125,473.391978870739,461.734187534877,593.176450020926
532.816175188337,469.902801513672,457.006535121373,589.051400320871
531.117004394531,467.618816028942,457.452274867467,589.736572265625
532.114172799247,473.797318892045,451.567387172154,589.252541678293
532.812598092215,468.651394930753,457.8880746024,592.997343226842
532.197592599051,463.920748623935,466.052987234933,593.997489711217
538.756175449916,479.190987326882,454.72764805385,593.223158482143
535.114033290318,473.681837602095,457.205487932478,596.327631487165
535.593756539481,472.358484441584,459.604221888951,590.571645682199
532.99131338937,470.831118496982,458.440887451172,592.758816092355
538.458398001535,482.842476584695,457.865761893136,593.097594342913
537.972667149135,482.717704079368,460.085292271205,590.542479596819
533.546327863421,471.431349320845,458.229932512556,596.62072492327
531.541793823242,468.893277254972,454.883566720145,591.318095179967
536.051877702986,483.391512784091,455.286324637277,592.339771379743
535.437707083566,483.667780095881,459.870452880859,592.085898263114
