rh_volume_superiorfrontal,lh_volume_rostralmiddlefrontal,lh_volume_superiorfrontal,rh_volume_rostralmiddlefrontal
812.7934303604254,832.4671834309896,817.5187243950077,704.8286455939798
812.6457904206604,834.9956868489584,816.9325144077704,700.7126949534696
813.1500459558823,828.1151123046875,821.2850790876684,706.2471439137179
814.2404964671415,829.3231201171875,819.3902381959,726.2303089815027
812.5593718200171,827.9935709635416,816.5513203938802,710.8813889447381
814.3519338399423,832.0595296223959,816.2813845998872,703.4036380543429
812.7633620831145,829.7210286458334,815.8832659837676,706.7900157255285
815.2781541327469,824.6553141276041,818.6403271434752,704.0699660357307
816.3874362977613,830.8160603841146,818.7163909663999,692.2624224494485
815.8562791327469,832.5959676106771,818.5952745142991,669.4816203397863
810.9047313017004,835.3999633789062,816.7847113260409,676.0294297162225
812.4113102760635,836.1290893554688,819.2541154070599,693.5797316607307
