rh_volume_superiorfrontal,lh_volume_rostralmiddlefrontal,lh_volume_superiorfrontal,rh_volume_precentral,rh_volume_rostralmiddlefrontal,rh_volume_caudalmiddlefrontal
727.1066806947169,700.4295531433899,739.9010656465667,720.270263671875,635.6193679283405,760.9883422851562
729.3208734486669,697.6353795435522,740.4800723243884,717.5378936767578,638.3404004327182,757.4716552734375
728.5680323031986,701.3375069754464,738.7542331591434,718.0193725585938,638.4642207704742,760.3464233398438
727.1565574338083,700.2432270793172,738.1952470727357,719.8140716552734,631.5826942180765,759.3352416992187
729.7764737937482,699.2002765605976,743.0467951847957,719.363656616211,631.4649005758351,761.3243041992188
727.4369692267859,699.9538760494876,740.4247022302216,720.0283569335937,630.3736635405442,757.55869140625
728.6542768264566,700.2637432147931,742.5721477953435,715.9942260742188,633.9390048323006,754.3939208984375
729.1730036029901,697.6189273982853,742.5550073666253,718.1259094238281,638.0891786772629,756.5786743164062
725.6302436178576,700.8778294154575,739.6573110727163,711.465121459961,631.1437209556842,756.2419677734375
728.0622690654121,703.6640541770241,740.0325117466172,713.1457702636719,631.0434265136719,754.4955688476563
726.0964702383819,703.8302830287388,739.9132562452747,709.1713287353516,632.2865516399515,755.977587890625
727.7340199423478,700.8460170200893,742.5479686348965,715.971435546875,637.3903503417969,759.0736206054687
732.3460436081137,703.3313864175375,746.6029449538617,718.8174987792969,637.9134111075566,759.7920043945312
725.6156624421945,700.7619513969917,740.3980828751405,710.6726440429687,640.7492317988955,754.2648681640625
725.958047978012,699.1338548536424,739.9458333434301,713.4013824462891,652.0972142712824,756.089892578125
726.316222802406,699.9270998471743,739.4118459999709,710.982455444336,653.4142245588631,755.7936157226562
724.8790249674844,699.7187805175781,740.2830135828212,713.2641662597656,652.5802633351293,756.4994262695312
725.4847217782196,701.0104524686739,736.7223808345369,706.0224761962891,646.1814806707974,755.0351684570312
721.5361614826014,700.3239337871601,738.3601853439293,707.8349792480469,637.3086232152478,756.4826293945313
723.7661807483622,703.2239772251675,737.7468953097133,707.4324096679687,637.1704301505254,753.6495239257813
722.6214947208696,701.1169722916244,735.273185483871,705.266079711914,630.4641471073545,756.9185302734375
722.6916759815986,698.6544605601918,737.7763971749961,705.9585754394532,628.0707271181304,758.3501586914062
719.9422051126112,700.0356885241224,734.3316147569983,701.5731597900391,623.4206395642511,759.10771484375
721.98734806899,700.2893276462307,736.5000861761883,705.4401184082031,632.3397290459994,754.8885009765625
723.6003950315741,701.9658306171368,740.4957847121927,707.3075622558594,638.162868105132,762.0628540039063
720.5852535230697,700.952087798676,735.139177118874,706.7904052734375,641.4041695430361,755.7332763671875
722.7772619136246,702.1163480684355,741.2586245099013,706.0747894287109,633.7811174063847,761.2680908203125
