id,time,value
UPENN-GBM-00054_rh_volume_superiorfrontal,6,24.16108759643118
UPENN-GBM-00054_rh_volume_superiorfrontal,7,23.94889814555543
UPENN-GBM-00054_rh_volume_superiorfrontal,8,23.966863878951383
UPENN-GBM-00054_rh_volume_superiorfrontal,9,24.22383365749289
UPENN-GBM-00054_rh_volume_superiorfrontal,10,24.04735871170588
UPENN-GBM-00054_rh_volume_superiorfrontal,11,23.775076132119004
UPENN-GBM-00054_rh_volume_superiorfrontal,12,24.06419534729432
UPENN-GBM-00054_rh_volume_superiorfrontal,13,24.18103199203923
UPENN-GBM-00054_rh_volume_superiorfrontal,14,24.189427758434537
UPENN-GBM-00054_rh_volume_superiorfrontal,15,23.86791827899377
UPENN-GBM-00054_rh_volume_superiorfrontal,16,24.07152804636332
UPENN-GBM-00054_rh_volume_superiorfrontal,17,20.751934106663303
UPENN-GBM-00054_rh_volume_superiorfrontal,18,23.86518827356601
UPENN-GBM-00054_rh_volume_superiorfrontal,19,21.302175174472374
UPENN-GBM-00054_rh_volume_superiorfrontal,20,19.578394403034032
UPENN-GBM-00054_rh_volume_superiorfrontal,21,19.11408294958694
UPENN-GBM-00054_rh_volume_superiorfrontal,22,20.545134373775948
UPENN-GBM-00054_rh_volume_superiorfrontal,23,21.455818930379547
UPENN-GBM-00054_rh_volume_superiorfrontal,24,22.127022548748307
UPENN-GBM-00054_rh_volume_superiorfrontal,25,23.197023887522416
UPENN-GBM-00054_rh_volume_superiorfrontal,26,23.69730246917916
UPENN-GBM-00054_rh_volume_superiorfrontal,27,23.531321931143136
UPENN-GBM-00054_rh_volume_superiorfrontal,28,23.762553336614552
UPENN-GBM-00054_rh_volume_superiorfrontal,29,23.68889069419092
UPENN-GBM-00054_rh_volume_superiorfrontal,30,23.700523723144062
UPENN-GBM-00054_rh_volume_superiorfrontal,31,23.761995150723827
UPENN-GBM-00054_rh_volume_superiorfrontal,32,23.69414165325567
UPENN-GBM-00054_rh_volume_superiorfrontal,33,23.43501650187069
UPENN-GBM-00054_rh_volume_superiorfrontal,34,24.45209424020697
UPENN-GBM-00054_rh_volume_superiorfrontal,35,23.468283963171352
UPENN-GBM-00054_rh_volume_superiorfrontal,36,23.485464919378348
UPENN-GBM-00054_rh_volume_superiorfrontal,37,23.872200366332585
UPENN-GBM-00054_rh_volume_superiorfrontal,38,24.03304491806145
UPENN-GBM-00054_rh_volume_superiorfrontal,39,23.69914666799497
UPENN-GBM-00054_rh_volume_superiorfrontal,40,22.535575217086564
UPENN-GBM-00054_rh_volume_superiorfrontal,41,23.81302241160036
UPENN-GBM-00054_rh_volume_superiorfrontal,42,24.22784746391216
UPENN-GBM-00054_rh_volume_superiorfrontal,43,23.7968579011457
UPENN-GBM-00054_rh_volume_superiorfrontal,44,23.757189480404293
UPENN-GBM-00054_lh_volume_rostralmiddlefrontal,0,272.82194017442185
UPENN-GBM-00054_lh_volume_rostralmiddlefrontal,1,271.61140290250233
UPENN-GBM-00054_lh_volume_rostralmiddlefrontal,2,271.4706612026112
UPENN-GBM-00054_lh_volume_rostralmiddlefrontal,3,269.9872611202247
UPENN-GBM-00054_lh_volume_rostralmiddlefrontal,4,270.83573161672354
UPENN-GBM-00054_lh_volume_rostralmiddlefrontal,5,272.14822651787995
UPENN-GBM-00054_lh_volume_rostralmiddlefrontal,6,271.0612885132932
UPENN-GBM-00054_lh_volume_rostralmiddlefrontal,7,273.0017717013356
UPENN-GBM-00054_lh_volume_rostralmiddlefrontal,8,272.32050200578635
UPENN-GBM-00054_lh_volume_rostralmiddlefrontal,9,273.9161949558418
UPENN-GBM-00054_lh_volume_rostralmiddlefrontal,10,273.9171765127817
UPENN-GBM-00054_lh_volume_rostralmiddlefrontal,11,272.16062155745726
UPENN-GBM-00054_lh_volume_rostralmiddlefrontal,12,275.73016437592685
UPENN-GBM-00054_lh_volume_rostralmiddlefrontal,13,274.1613533253122
UPENN-GBM-00054_lh_volume_rostralmiddlefrontal,14,270.83133226359024
UPENN-GBM-00054_lh_volume_rostralmiddlefrontal,15,274.8094512523677
UPENN-GBM-00054_lh_volume_rostralmiddlefrontal,16,273.8390471524324
UPENN-GBM-00054_lh_volume_rostralmiddlefrontal,17,240.16797755779007
UPENN-GBM-00054_lh_volume_rostralmiddlefrontal,18,274.8670594543633
UPENN-GBM-00054_lh_volume_rostralmiddlefrontal,19,245.52302935847797
UPENN-GBM-00054_lh_volume_rostralmiddlefrontal,20,238.50788881245745
UPENN-GBM-00054_lh_volume_rostralmiddlefrontal,21,232.0516593819281
UPENN-GBM-00054_lh_volume_rostralmiddlefrontal,22,235.28033236138668
UPENN-GBM-00054_lh_volume_rostralmiddlefrontal,23,245.34453466252936
UPENN-GBM-00054_lh_volume_rostralmiddlefrontal,24,247.5208515875848
UPENN-GBM-00054_lh_volume_rostralmiddlefrontal,25,258.6633801058958
UPENN-GBM-00054_lh_volume_rostralmiddlefrontal,26,261.49796352577226
UPENN-GBM-00054_lh_volume_rostralmiddlefrontal,27,263.53182768136435
UPENN-GBM-00054_lh_volume_rostralmiddlefrontal,28,266.4992132239278
UPENN-GBM-00054_lh_volume_rostralmiddlefrontal,29,269.1051158874693
UPENN-GBM-00054_lh_volume_rostralmiddlefrontal,30,271.45365681561384
UPENN-GBM-00054_lh_volume_rostralmiddlefrontal,31,268.9224566228496
UPENN-GBM-00054_lh_volume_rostralmiddlefrontal,32,268.6577565526406
UPENN-GBM-00054_lh_volume_rostralmiddlefrontal,33,269.0260831458877
UPENN-GBM-00054_lh_volume_rostralmiddlefrontal,34,269.27605063365456
UPENN-GBM-00054_lh_volume_rostralmiddlefrontal,35,267.9775457241456
UPENN-GBM-00054_lh_volume_rostralmiddlefrontal,36,265.4120895736358
UPENN-GBM-00054_lh_volume_rostralmiddlefrontal,37,270.31836651797835
UPENN-GBM-00054_lh_volume_rostralmiddlefrontal,38,271.9164325446825
UPENN-GBM-00054_lh_volume_rostralmiddlefrontal,39,267.3867330658307
UPENN-GBM-00054_lh_volume_rostralmiddlefrontal,40,266.0771125336363
UPENN-GBM-00054_lh_volume_rostralmiddlefrontal,41,250.5110769023879
UPENN-GBM-00054_lh_volume_rostralmiddlefrontal,42,292.22481641928124
UPENN-GBM-00054_lh_volume_rostralmiddlefrontal,43,272.1503277695665
UPENN-GBM-00054_lh_volume_rostralmiddlefrontal,44,270.09987649349864
UPENN-GBM-00054_lh_volume_superiorfrontal,0,304.0689798158018
UPENN-GBM-00054_lh_volume_superiorfrontal,1,298.1425226166271
UPENN-GBM-00054_lh_volume_superiorfrontal,2,305.4908756333533
UPENN-GBM-00054_lh_volume_superiorfrontal,3,301.0933870349457
UPENN-GBM-00054_lh_volume_superiorfrontal,4,304.446490131994
UPENN-GBM-00054_lh_volume_superiorfrontal,5,303.97574652266087
UPENN-GBM-00054_lh_volume_superiorfrontal,6,297.70280410270954
UPENN-GBM-00054_lh_volume_superiorfrontal,7,301.5853113769465
UPENN-GBM-00054_lh_volume_superiorfrontal,8,306.8580109806136
UPENN-GBM-00054_lh_volume_superiorfrontal,9,306.0224315338968
UPENN-GBM-00054_lh_volume_superiorfrontal,10,303.90855527813284
UPENN-GBM-00054_lh_volume_superiorfrontal,11,309.30644014796883
UPENN-GBM-00054_lh_volume_superiorfrontal,12,302.2301395709368
UPENN-GBM-00054_lh_volume_superiorfrontal,13,306.9920654761032
UPENN-GBM-00054_lh_volume_superiorfrontal,14,307.77094400098616
UPENN-GBM-00054_lh_volume_superiorfrontal,15,304.7746451308046
UPENN-GBM-00054_lh_volume_superiorfrontal,16,306.6296652999404
UPENN-GBM-00054_lh_volume_superiorfrontal,17,267.53251194431147
UPENN-GBM-00054_lh_volume_superiorfrontal,18,294.4749169062081
UPENN-GBM-00054_lh_volume_superiorfrontal,19,246.60202784322527
UPENN-GBM-00054_lh_volume_superiorfrontal,20,229.57182122410256
UPENN-GBM-00054_lh_volume_superiorfrontal,21,237.29400826850687
UPENN-GBM-00054_lh_volume_superiorfrontal,22,252.41447152313776
UPENN-GBM-00054_lh_volume_superiorfrontal,23,266.1065503889168
UPENN-GBM-00054_lh_volume_superiorfrontal,24,281.37917776549904
UPENN-GBM-00054_lh_volume_superiorfrontal,25,285.41840753983485
UPENN-GBM-00054_lh_volume_superiorfrontal,26,296.98679884741927
UPENN-GBM-00054_lh_volume_superiorfrontal,27,302.3255316508244
UPENN-GBM-00054_lh_volume_superiorfrontal,28,294.7049337707368
UPENN-GBM-00054_lh_volume_superiorfrontal,29,298.65924816460125
UPENN-GBM-00054_lh_volume_superiorfrontal,30,298.4199137371912
UPENN-GBM-00054_lh_volume_superiorfrontal,31,301.0227990992025
UPENN-GBM-00054_lh_volume_superiorfrontal,32,292.6851634536963
UPENN-GBM-00054_lh_volume_superiorfrontal,33,294.4536411920705
UPENN-GBM-00054_lh_volume_superiorfrontal,34,305.7409450580665
UPENN-GBM-00054_lh_volume_superiorfrontal,35,295.77759692509755
UPENN-GBM-00054_lh_volume_superiorfrontal,36,302.45759340732155
UPENN-GBM-00054_lh_volume_superiorfrontal,37,300.9707174154574
UPENN-GBM-00054_lh_volume_superiorfrontal,38,306.2138025713074
UPENN-GBM-00054_lh_volume_superiorfrontal,39,308.7167564287512
UPENN-GBM-00054_lh_volume_superiorfrontal,40,292.32213593595924
UPENN-GBM-00054_lh_volume_superiorfrontal,41,275.47953435885915
UPENN-GBM-00054_lh_volume_superiorfrontal,42,316.0730346271874
UPENN-GBM-00054_lh_volume_superiorfrontal,43,299.6636451225627
UPENN-GBM-00054_lh_volume_superiorfrontal,44,299.3608517519436
UPENN-GBM-00071_rh_volume_superiorfrontal,0,727.549368051382
UPENN-GBM-00071_rh_volume_superiorfrontal,1,719.017653245192
UPENN-GBM-00071_rh_volume_superiorfrontal,2,724.164804311899
UPENN-GBM-00071_rh_volume_superiorfrontal,3,720.109224759615
UPENN-GBM-00071_rh_volume_superiorfrontal,4,728.357487605168
UPENN-GBM-00071_rh_volume_superiorfrontal,5,735.288846529447
UPENN-GBM-00071_rh_volume_superiorfrontal,6,724.569908728966
UPENN-GBM-00071_rh_volume_superiorfrontal,7,725.717111440805
UPENN-GBM-00071_rh_volume_superiorfrontal,8,723.85207425631
UPENN-GBM-00071_rh_volume_superiorfrontal,9,724.190021221454
UPENN-GBM-00071_rh_volume_superiorfrontal,10,742.109867976262
UPENN-GBM-00071_rh_volume_superiorfrontal,11,732.740379920373
UPENN-GBM-00071_rh_volume_superiorfrontal,12,732.780728853666
UPENN-GBM-00071_rh_volume_superiorfrontal,13,725.797006460337
UPENN-GBM-00071_rh_volume_superiorfrontal,14,676.624225323017
UPENN-GBM-00071_rh_volume_superiorfrontal,15,592.316612830529
UPENN-GBM-00071_rh_volume_superiorfrontal,16,511.398254394531
UPENN-GBM-00071_rh_volume_superiorfrontal,17,488.865251981295
UPENN-GBM-00071_rh_volume_superiorfrontal,18,478.497199425331
UPENN-GBM-00071_rh_volume_superiorfrontal,19,506.014691866361
UPENN-GBM-00071_rh_volume_superiorfrontal,20,522.143585205078
UPENN-GBM-00071_rh_volume_superiorfrontal,21,535.704761211689
UPENN-GBM-00071_rh_volume_superiorfrontal,22,556.328052227314
UPENN-GBM-00071_rh_volume_superiorfrontal,23,560.185546875
UPENN-GBM-00071_rh_volume_superiorfrontal,24,555.657674936148
UPENN-GBM-00071_rh_volume_superiorfrontal,25,578.648169884315
UPENN-GBM-00071_rh_volume_superiorfrontal,26,585.752671461839
UPENN-GBM-00071_rh_volume_superiorfrontal,27,578.495549128606
UPENN-GBM-00071_rh_volume_superiorfrontal,28,590.808729905349
UPENN-GBM-00071_rh_volume_superiorfrontal,29,590.163851224459
UPENN-GBM-00071_rh_volume_superiorfrontal,30,600.719989483173
UPENN-GBM-00071_rh_volume_superiorfrontal,31,616.172414926382
UPENN-GBM-00071_rh_volume_superiorfrontal,32,614.140855055589
UPENN-GBM-00071_rh_volume_superiorfrontal,33,615.443861741286
UPENN-GBM-00071_rh_volume_superiorfrontal,34,620.518784743089
UPENN-GBM-00071_rh_volume_superiorfrontal,35,606.289616511418
UPENN-GBM-00071_rh_volume_superiorfrontal,36,622.368032602164
UPENN-GBM-00071_rh_volume_superiorfrontal,37,623.783160869892
UPENN-GBM-00071_rh_volume_superiorfrontal,38,628.671039287861
UPENN-GBM-00071_rh_volume_superiorfrontal,39,617.745873084435
UPENN-GBM-00071_rh_volume_superiorfrontal,40,627.744347205529
UPENN-GBM-00071_rh_volume_superiorfrontal,41,620.356712928185
UPENN-GBM-00071_rh_volume_superiorfrontal,42,632.632577749399
UPENN-GBM-00071_rh_volume_superiorfrontal,43,636.839280348558
UPENN-GBM-00071_rh_volume_superiorfrontal,44,632.130014272837
UPENN-GBM-00071_lh_volume_rostralmiddlefrontal,0,812.173139089561
