rh_volume_superiorfrontal,lh_volume_rostralmiddlefrontal,lh_volume_superiorfrontal,rh_volume_precentral
920.2341250949436,920.0064174107143,880.1219323446584,850.0253092447916
923.0146355523003,915.6605293446017,880.709407362827,847.3868001302084
922.3453589545356,917.2755888745301,882.3824900072674,849.7920532226562
921.338572523329,916.7253124265742,882.2847340191981,847.8197224934896
924.3936214870877,922.2399200209998,880.9479785534762,850.60009765625
919.09052734375,918.6163040964227,880.459283021439,850.3344930013021
918.6665401882595,924.1356683028372,881.7386791613675,848.9511108398438
919.2167141384549,921.7046921808917,883.7824525345203,847.7581583658854
920.4312452528212,921.7283669378525,882.2321477372517,850.2621663411459
920.2845102945963,925.2552742635397,882.7805474806202,852.1324869791666
920.5826083713108,921.5676815635279,881.4751639905826,850.7713419596354
920.5823903401692,917.9398629324777,881.5793772142987,850.6756795247396
923.4228641086155,918.8268207750822,880.9488576489825,851.8294270833334
921.1853183322482,920.3151818755874,881.8810884697493,847.8846028645834
924.5502885606554,921.3512880712524,883.0191303105318,847.4797566731771
920.8454128689236,922.4779612605734,883.8524183169816,847.8438313802084
923.2937547471788,918.5621438851034,882.4876369269319,844.2944132486979
919.4069502088759,918.5693969726562,880.9404593061107,845.7662556966146
920.556506008572,923.5862963683624,882.3607888391775,849.2314656575521
921.4839365641276,922.8654161037359,881.6879858209181,851.8368530273438
918.6116841634115,920.0505086568961,882.9577221301175,851.0699259440104
916.225729031033,921.0610039503055,880.5607323461725,852.2288208007812
919.1173095703125,922.8916814130051,878.8209852115128,847.55517578125
919.2625810411241,921.0943479609668,879.74802028449,847.1661173502604
923.385676405165,919.5451963037476,881.8558180224987,844.7625935872396
919.5029741075303,918.8502513914179,882.0938085748244,852.5691935221354
920.8669776068793,921.5086142174283,881.3469700066619,851.583740234375
923.2276970757379,922.0938050693139,883.7962483723958,845.3850708007812
919.5419125027126,925.7984944967399,881.7004120109617,849.8681640625
917.2601111518012,920.2276560847921,880.2096309691436,852.1138916015625
919.511903889974,918.1982022622474,878.7806560191074,849.9455362955729
918.3246717664931,918.3309422543174,878.4770009122153,845.6447550455729
920.9292063395183,919.4780356041471,882.2029814490976,852.6869099934896
920.778534274631,922.4058089865778,882.8109723231589,853.2346394856771
921.0167131212022,923.6913364955357,881.1643536708152,853.2281901041666
923.3245144314236,920.700719388804,883.2098107626272,853.2689208984375
920.9742940266927,921.2867092046523,880.0481894796209,848.4378662109375
920.912242296007,919.230749603501,878.2252180232558,849.3887736002604
920.0301086425782,916.8525519120066,881.7322736873183,850.8515828450521
915.3832617865669,920.4979101195371,879.1265261627907,847.3693033854166
919.6794684516059,922.354103948837,880.3319232792817,854.2136433919271
923.4158281114367,922.8948130213229,880.8079853856286,848.7901204427084
921.6821482340495,922.5375457993127,883.5520902411882,848.7151285807291
918.679736328125,920.9888535119537,881.4551058510477,845.4801025390625
920.5131696912978,920.2539057910891,881.9040672124818,848.9515380859375
923.041657172309,920.4919915450247,879.9555320562318,849.6249186197916
924.4513125949436,919.4360287314967,881.493320672087,847.4972941080729
924.04541015625,919.0916472700305,881.974698798601,855.2275797526041
922.9592715793186,924.6447652945841,881.4082209150921,845.3770955403646
920.2333730061849,922.4698940649964,880.6883719983952,849.9084269205729
915.8718322753906,923.3558638723273,881.2821174562439,848.9607137044271
916.564040459527,926.4574084748003,882.204852342236,850.3773193359375
915.6532494439019,925.8514537381051,879.1280902714692,851.0713297526041
919.0617346869575,926.7756990131579,881.8546540962633,848.1776326497396
