"","Gene","GSM2193391","GSM2193392","GSM2193395","GSM2193396","GSM2193439","GSM2193440","GSM2193441","GSM2193442","GSM2193488","GSM2193499","GSM2193540","GSM2193544","GSM2193577","GSM2193623","GSM2193653","GSM2193683","GSM2193684","GSM2193686","GSM2193719","GSM2193732","GSM2193733","GSM2193771","GSM2193773","GSM2193774","GSM2193778","GSM2193804","GSM2193823","GSM2193835","GSM2193836","GSM2193849","GSM2193859","GSM2193860","GSM2193861","GSM2193898","GSM2193904","GSM2193917","GSM2193927","GSM2193931","GSM2193933","GSM2193971","GSM2193977","GSM2193978","GSM2193998","GSM2194060","GSM2194077"
"21","XDH",4.21412758079434,4.3037282206715,4.41813197270026,4.58386093269179,4.59974875076862,4.15579426364075,4.34944052249651,4.05117939525715,4.34472121916906,4.31697309934137,4.12125857579512,4.14600799713138,4.0942565239559,4.52854389199723,4.32849757369492,4.43573434583679,4.71868431247099,4.17391772399071,4.78791311799807,3.86404054402871,4.56257690171059,4.20159135839629,4.15581217139748,4.84074210574724,4.16649411351329,4.14164816261907,4.49196597368212,4.09294807564505,4.0270039087442,4.31655126597068,4.36473661796221,3.98581553759451,4.06386753895024,4.20482379553789,4.09573954390146,4.45506027069472,4.40319917733433,4.28102288019743,4.27815491852878,4.72832495296601,4.3708926324603,4.49481628562227,4.31846019963952,4.31530078242848,4.33188065027425
"22","EDN1",4.67162830936487,7.1386263210479,5.04067567359438,4.63787311324809,6.34226311263713,6.80223826952864,5.08350010332051,5.83691677299624,5.14738801206013,4.96498302479546,6.28690782458812,4.76362836472833,7.96086003739543,5.45303735073886,5.1833939857726,5.63041300581372,4.98077047228551,4.88490226254808,5.963894705769,4.98392759624096,5.11646866093305,6.15760568008649,5.05519984008521,6.50264839987725,5.88246954049839,6.05446173365884,4.49396487280953,7.00344808395461,5.48716327333024,4.95188194301782,5.24278988998047,6.54596887798538,5.87533849400955,5.82431638740346,5.55894462782376,5.69278596207442,6.7978755135995,5.21448662333661,4.80310521829653,4.76005250279066,5.92532805934397,5.29918285956298,5.545610732799,5.14715802357068,4.99866703480273
"23","MTERF",7.83844069831798,7.1978704329706,6.79014651768662,7.31854708488611,7.38224326162327,7.53940626737129,6.78134290290434,6.57427926626131,6.03266021571947,7.84114766929261,6.4508744504205,8.64593466377692,6.57027682105463,6.57537085900531,7.76547793026969,7.12725947561564,6.47616745761295,6.53890077707219,6.81383314280081,7.0334781189549,6.25808722213214,8.11734680631332,6.95438119653264,6.39691424735446,7.76027924931092,7.07353328050301,6.72418209907016,7.80733900129008,6.59121061033313,6.23608121737265,6.8302486475884,6.91600990598255,7.33878357118546,7.17881284287073,6.91212577672097,7.69615899617414,7.51036904267151,7.2648730754077,7.48839952907979,6.71455545934874,7.93195020185033,6.51575216517114,8.45218140444936,6.6436167700596,7.29275678695857
"24","PDCL3",8.72277731075362,8.18451702604799,7.90760577441702,7.44227027381972,7.09922884680775,8.5567382769677,7.87024457955482,8.30677110290004,7.81094322262281,7.74866366285572,8.15094544250753,7.34524009161846,8.40478621181167,7.85470700324758,7.7124357938657,7.62627752244166,7.18497459062313,8.06242334980294,7.657889631555,8.51488245047428,7.79930188097455,8.40677462318862,7.85053911050378,7.08742188856494,7.48428377087005,8.37080844426252,7.97370060651985,8.19945937949829,7.4677348907849,7.53659690332639,8.07262625002071,7.66779264411243,8.01877900172778,7.9473256128044,8.50431602222427,8.08829572521474,7.32933785878422,7.60492010702549,7.78636356334501,7.29018580440283,7.16486612006864,8.47068381969205,7.57691850218,8.34667576712354,8.34028749437982
"25","CLK4",7.18553394166564,7.9547457513437,7.38502122250959,6.81026017233405,7.9907994056652,7.39943361815862,6.91142024201251,7.63564395509534,5.7396428046576,6.71586157670436,7.59606347002286,7.77754940435902,7.14537386318788,6.06210643238739,7.54492152443673,7.06302470849157,5.66173037328329,7.30827722356759,8.28542945360138,7.25313075034933,7.28696195481588,7.80841581226707,7.91431660265941,6.36026037719534,6.92504539602761,7.04160050272947,6.90373376215126,8.11958360527788,6.4170646957168,7.65967857611866,6.78932856644413,7.17444739386217,8.38662573787847,7.63419054352791,7.56811245468434,8.02479389185936,7.87489666596634,6.98944508842011,7.10285595350805,6.15951645564259,8.10879721043264,7.83317741983783,6.53708755631541,6.68823984921467,6.71157329710085
"26","KCNG1",4.47091290218804,3.93121073658094,4.66726197526231,4.61214149393809,4.1689917128605,4.00867310391279,4.18616639141523,4.70105829970932,4.0362309730324,4.34471823971742,4.06912471769478,4.30333009196117,3.96456693754216,4.66204669522962,4.90030355056575,5.52509851285242,4.46541818561233,4.50703000306903,4.35965198605572,4.07738914580983,4.53872912336845,4.00979582052101,4.05258231201443,5.55206290239818,4.30783116550917,4.17867518358029,4.1350385024146,4.35865468822005,5.08056269001705,4.64884468322213,4.68503811403221,3.91547642026963,4.70225207020789,4.14369040099403,4.10417561107134,5.04096456877383,5.1196990028165,4.67701664218245,4.98061055204052,4.77282237477909,4.41010102947016,4.15631905396356,4.00547738342799,4.20791217312994,4.21519910705853
"27","CXCR4",7.07539084684424,8.39045304049204,9.35289717976012,7.81193398253669,5.3250804611828,8.2481031785005,7.59964683674432,9.52798687201176,8.78673256572063,6.79016620965194,9.41555597679015,7.424052722727,9.92346405053784,9.1951583058544,8.21882098592884,8.6614029994403,7.5844419873323,8.8535907332083,6.12904933747771,8.68164409469551,7.89143366483853,8.27047527566667,7.83777189369937,4.76765114947306,8.01166490487929,9.7426936814985,9.73618802307773,8.41171061751995,8.16476655324003,8.49990280556657,7.69146335531512,8.17566436415378,7.51370747925325,8.02048491473264,9.25213209518642,8.73602509291797,7.14343475373021,8.01243631197019,7.55543192039622,8.8153920915254,7.06548565668708,9.16354449736884,7.44341228787152,9.42038329454876,7.45776887064123
"28","DECR1",9.66318205660403,9.89794301482312,9.73513608707993,9.2508572933593,9.61339594435533,10.0989449642118,9.20531345190534,9.30382240656308,9.40984810284125,9.59751748033368,9.62737902828842,9.14599804964568,10.1370530464993,9.58652509114214,10.2440143308479,9.57591773032195,8.74777585859136,8.93621736959616,7.7954989937438,8.6743215966703,9.81745184039229,10.2488981104074,8.99638323264744,8.54065296210078,9.4831654248274,9.71525779629459,8.47193141963026,9.10403880311319,9.0579059779863,9.48678347618337,9.36730262826226,8.77108792662059,9.26238823698488,9.45524292576396,9.23453094951384,10.6237793692481,9.59704206899317,9.69154013691121,9.42332125058452,8.97459611547552,9.12714625600662,9.74543060049439,9.79603386394004,9.5650445362451,9.672582235573
"29","SALL1",7.13915286357737,8.49368812260209,6.64748697271924,7.02918593896209,6.06411366248372,9.67679772508302,7.07858767742803,7.93988325040478,6.60745358564708,7.40586676144432,7.44460925525086,8.2250037997115,7.98387107459731,6.81760641531069,7.90678859482532,5.42162634938213,5.79666893192147,8.11222169909334,5.88902577784244,3.63899076443771,8.07710843212665,8.3451025381876,6.76926663311386,5.2717106438602,8.43875492985922,7.76605984534024,3.98473196353906,7.965972622264,6.96303011110638,6.14280556267525,7.29519439524311,7.42829614281646,8.36049924127688,8.65293444735272,8.63455095953938,7.9741306147414,7.21394936052068,7.29442794017035,7.33877350803755,7.68451835342865,7.79694305467719,8.11023684594932,7.89444986430113,7.61212832958475,5.6254764257121
"30","PTPRR",3.94107537523543,4.1693257658919,4.26099919012732,4.05720611672938,4.43620307083491,4.69883128680347,4.0865091352086,4.24047968527076,4.01558894012882,4.25428401654609,4.08713988238601,4.32692207277244,5.80381156440195,4.41106133256729,5.47183072870999,4.34374918526214,4.98054936805413,4.81570625873193,4.35242523938668,4.22297247589974,4.60427427607611,4.26139353248278,4.30686411714233,7.92058665052258,4.37452387200814,4.26911683178503,7.26103076444557,4.12635803911819,4.30327782679725,3.94715908736209,3.90542970055895,4.59643706288567,6.11107930111992,4.36680323518687,6.80863960082175,3.88859276711593,4.13311806172997,4.30285643072059,4.22955435016313,4.08676567772908,4.06934306477314,4.03001676240204,3.98928785955399,4.18540992904788,3.9182405313949
